,EF1_Satzart,EF2_Gebietstand,EF3_ARS,EF4_Verband,EF5_Verbandsbezeichnung,EF6_Sitz_des_Verbandes,EF7_Schlüsselfelder,EF8_Leer,EF9_Frei für landesinterne Angaben,BL_nr,BL_name
0,10,20241031,01,,Schleswig-Holstein,Kiel,,,,1,Schleswig-Holstein
1293,10,20241031,02,,Hamburg,Hamburg,,,,2,Hamburg
1297,10,20241031,03,,Niedersachsen,Hannover,,,,3,Niedersachsen
2739,10,20241031,04,,Bremen,Bremen,,,,4,Bremen
2746,10,20241031,05,,Nordrhein-Westfalen,Düsseldorf,,,,5,Nordrhein-Westfalen
3597,10,20241031,06,,Hessen,Wiesbaden,,,,6,Hessen
4477,10,20241031,07,,Rheinland-Pfalz,Mainz,,,,7,Rheinland-Pfalz
6990,10,20241031,08,,Baden-Württemberg,Stuttgart,,,,8,Baden-Württemberg
8616,10,20241031,09,,Bayern,München,,,,9,Bayern
12503,10,20241031,10,,Saarland,"Saarbrücken, Landeshauptstadt",,,,10,Saarland
12616,10,20241031,11,,Berlin,Berlin,,,,11,Berlin
12620,10,20241031,12,,Brandenburg,Potsdam,,,,12,Brandenburg
13245,10,20241031,13,,Mecklenburg-Vorpommern,Schwerin,,,,13,Mecklenburg-Vorpommern
14096,10,20241031,14,,Sachsen,Dresden,,,,14,Sachsen
14840,10,20241031,15,,Sachsen-Anhalt,Magdeburg,,,,15,Sachsen-Anhalt
15195,10,20241031,16,,Thüringen,Erfurt,,,,16,Thüringen
